Sex,Persons (Cases per 100 000 persons),Year,Country,Type of Cancer
Female,9.3,2008,Norway,Malignant neoplasms of cervix uteri
Female,10.4,2002,Norway,Malignant neoplasms of cervix uteri
Female,26.1,2012,Norway,"Malignant neoplasms of trachea, bronchus, lung"
Female,24.7,2008,Norway,"Malignant neoplasms of trachea, bronchus, lung"
Female,18.7,2002,Norway,"Malignant neoplasms of trachea, bronchus, lung"
Female,73.1,2012,Norway,Malignant neoplasms of female breast
Female,76.2,2008,Norway,Malignant neoplasms of female breast
Female,74.8,2002,Norway,Malignant neoplasms of female breast
Female,277.1,2012,Norway,Malignant neoplasms
Female,21.8,2012,Poland,"Malignant neoplasms of trachea, bronchus, lung"
Female,18.4,2002,Poland,Malignant neoplasms of cervix uteri
Female,51.9,2012,Poland,Malignant neoplasms of female breast
Female,48.9,2008,Poland,Malignant neoplasms of female breast
Female,50.3,2002,Poland,Malignant neoplasms of female breast
Female,18.3,2008,Poland,"Malignant neoplasms of trachea, bronchus, lung"
Female,14.6,2002,Poland,"Malignant neoplasms of trachea, bronchus, lung"
Female,205.6,2012,Poland,Malignant neoplasms
Female,186,2008,Poland,Malignant neoplasms
Female,210.3,2002,Poland,Malignant neoplasms
Female,19.5,2012,Poland,"Malignant neoplasms of colon, rectum and anus"
Female,17.6,2008,Poland,"Malignant neoplasms of colon, rectum and anus"
Female,23.5,2002,Poland,"Malignant neoplasms of colon, rectum and anus"
Female,12.2,2012,Poland,Malignant neoplasms of cervix uteri
Female,198.1,2012,Portugal,Malignant neoplasms
Female,6,2008,Portugal,"Malignant neoplasms of trachea, bronchus, lung"
Female,6,2002,Portugal,"Malignant neoplasms of trachea, bronchus, lung"
Female,5.5,2000,Portugal,"Malignant neoplasms of trachea, bronchus, lung"
Female,5.5,1998,Portugal,"Malignant neoplasms of trachea, bronchus, lung"
Female,190.8,2008,Portugal,Malignant neoplasms
Female,191.1,2002,Portugal,Malignant neoplasms
Female,192.8,2000,Portugal,Malignant neoplasms
Female,180.1,1998,Portugal,Malignant neoplasms
Female,67.6,2012,Portugal,Malignant neoplasms of female breast
Female,60,2008,Portugal,Malignant neoplasms of female breast
Female,55.5,2002,Portugal,Malignant neoplasms of female breast
Female,55.3,2000,Portugal,Malignant neoplasms of female breast
Female,52.3,1998,Portugal,Malignant neoplasms of female breast
Female,8.3,2012,Portugal,"Malignant neoplasms of trachea, bronchus, lung"
Female,9,2012,Portugal,Malignant neoplasms of cervix uteri
Female,12.2,2008,Portugal,Malignant neoplasms of cervix uteri
Female,13.5,2002,Portugal,Malignant neoplasms of cervix uteri
Female,14.6,2000,Portugal,Malignant neoplasms of cervix uteri
Female,10,1998,Portugal,Malignant neoplasms of cervix uteri
Female,23.6,2012,Portugal,"Malignant neoplasms of colon, rectum and anus"
Female,24.1,2008,Portugal,"Malignant neoplasms of colon, rectum and anus"
Female,21.1,2002,Portugal,"Malignant neoplasms of colon, rectum and anus"
Female,24.3,2000,Portugal,"Malignant neoplasms of colon, rectum and anus"
Female,29.3,2012,Slovak Republic,"Malignant neoplasms of colon, rectum and anus"
Female,9.4,2002,Slovak Republic,"Malignant neoplasms of trachea, bronchus, lung"
Female,16.1,2012,Slovak Republic,Malignant neoplasms of cervix uteri
Female,15.8,2008,Slovak Republic,Malignant neoplasms of cervix uteri
Female,18.5,2002,Slovak Republic,Malignant neoplasms of cervix uteri
Female,29.2,2008,Slovak Republic,"Malignant neoplasms of colon, rectum and anus"
Female,27.4,2002,Slovak Republic,"Malignant neoplasms of colon, rectum and anus"
Female,57.5,2012,Slovak Republic,Malignant neoplasms of female breast
Female,53.4,2008,Slovak Republic,Malignant neoplasms of female breast
Female,48,2002,Slovak Republic,Malignant neoplasms of female breast
Female,238,2012,Slovak Republic,Malignant neoplasms
Female,223.4,2008,Slovak Republic,Malignant neoplasms
Female,206.9,2002,Slovak Republic,Malignant neoplasms
Female,14.3,2012,Slovak Republic,"Malignant neoplasms of trachea, bronchus, lung"
Female,231.8,2008,Slovenia,Malignant neoplasms
Female,10.5,2012,Slovenia,Malignant neoplasms of cervix uteri
Female,13.7,2008,Slovenia,Malignant neoplasms of cervix uteri
Female,17.5,2012,Slovenia,"Malignant neoplasms of trachea, bronchus, lung"
Female,16.7,2008,Slovenia,"Malignant neoplasms of trachea, bronchus, lung"
Female,27,2012,Slovenia,"Malignant neoplasms of colon, rectum and anus"
Female,25,2008,Slovenia,"Malignant neoplasms of colon, rectum and anus"
Female,66.5,2012,Slovenia,Malignant neoplasms of female breast
Female,65.5,2008,Slovenia,Malignant neoplasms of female breast
Female,67.3,2012,Spain,Malignant neoplasms of female breast
Female,6.3,2008,Spain,Malignant neoplasms of cervix uteri
Female,7.6,2002,Spain,Malignant neoplasms of cervix uteri
Female,7.2,2000,Spain,Malignant neoplasms of cervix uteri
Female,5.9,1998,Spain,Malignant neoplasms of cervix uteri
Female,61,2008,Spain,Malignant neoplasms of female breast
Female,50.9,2002,Spain,Malignant neoplasms of female breast
Female,47.9,2000,Spain,Malignant neoplasms of female breast
Female,49.6,1998,Spain,Malignant neoplasms of female breast
Female,198.2,2012,Spain,Malignant neoplasms
Female,187,2008,Spain,Malignant neoplasms
Female,179.1,2002,Spain,Malignant neoplasms
Female,166.3,2000,Spain,Malignant neoplasms
Female,171.3,1998,Spain,Malignant neoplasms
Female,7.8,2012,Spain,Malignant neoplasms of cervix uteri
Female,24.2,2012,Spain,"Malignant neoplasms of colon, rectum and anus"
Female,22.9,2008,Spain,"Malignant neoplasms of colon, rectum and anus"
Female,22.5,2002,Spain,"Malignant neoplasms of colon, rectum and anus"
Female,21,2000,Spain,"Malignant neoplasms of colon, rectum and anus"
Female,22.1,1998,Spain,"Malignant neoplasms of colon, rectum and anus"
Female,11.3,2012,Spain,"Malignant neoplasms of trachea, bronchus, lung"
Female,7.7,2008,Spain,"Malignant neoplasms of trachea, bronchus, lung"
Female,5.4,2002,Spain,"Malignant neoplasms of trachea, bronchus, lung"
Female,4,2000,Spain,"Malignant neoplasms of trachea, bronchus, lung"
Female,26.5,2012,Sweden,"Malignant neoplasms of colon, rectum and anus"
Female,82.7,2008,Sweden,Malignant neoplasms of female breast
Female,87.8,2002,Sweden,Malignant neoplasms of female breast
Female,81,2000,Sweden,Malignant neoplasms of female breast
Female,83.2,1998,Sweden,Malignant neoplasms of female breast
Female,26,2008,Sweden,"Malignant neoplasms of colon, rectum and anus"
Female,26.2,2002,Sweden,"Malignant neoplasms of colon, rectum and anus"
Female,24.6,2000,Sweden,"Malignant neoplasms of colon, rectum and anus"
Female,23.4,1998,Sweden,"Malignant neoplasms of colon, rectum and anus"
Female,248.7,2012,Sweden,Malignant neoplasms
Female,240.7,2008,Sweden,Malignant neoplasms
Female,251.8,2002,Sweden,Malignant neoplasms
Female,250.1,2000,Sweden,Malignant neoplasms
Female,244.5,1998,Sweden,Malignant neoplasms
Female,80.4,2012,Sweden,Malignant neoplasms of female breast
Female,19.1,2012,Sweden,"Malignant neoplasms of trachea, bronchus, lung"
Female,18.1,2008,Sweden,"Malignant neoplasms of trachea, bronchus, lung"
Female,14.4,2002,Sweden,"Malignant neoplasms of trachea, bronchus, lung"
Female,12.1,2000,Sweden,"Malignant neoplasms of trachea, bronchus, lung"
Female,12.9,1998,Sweden,"Malignant neoplasms of trachea, bronchus, lung"
Female,7.4,2012,Sweden,Malignant neoplasms of cervix uteri
Female,7.4,2008,Sweden,Malignant neoplasms of cervix uteri
Female,8.2,2002,Sweden,Malignant neoplasms of cervix uteri
Female,9.4,2000,Sweden,Malignant neoplasms of cervix uteri
Female,89.4,2008,Switzerland,Malignant neoplasms of female breast
Female,23.6,2012,Switzerland,"Malignant neoplasms of colon, rectum and anus"
Female,21.5,2008,Switzerland,"Malignant neoplasms of colon, rectum and anus"
Female,25.2,2002,Switzerland,"Malignant neoplasms of colon, rectum and anus"
Female,23.8,2000,Switzerland,"Malignant neoplasms of colon, rectum and anus"
Female,81.7,2002,Switzerland,Malignant neoplasms of female breast
Female,70.1,2000,Switzerland,Malignant neoplasms of female breast
Female,20.7,2012,Switzerland,"Malignant neoplasms of trachea, bronchus, lung"
Female,17,2008,Switzerland,"Malignant neoplasms of trachea, bronchus, lung"
Female,13.8,2002,Switzerland,"Malignant neoplasms of trachea, bronchus, lung"
Female,11.6,2000,Switzerland,"Malignant neoplasms of trachea, bronchus, lung"
Female,3.6,2012,Switzerland,Malignant neoplasms of cervix uteri
Female,4,2008,Switzerland,Malignant neoplasms of cervix uteri
Female,8.3,2002,Switzerland,Malignant neoplasms of cervix uteri
Female,7.2,2000,Switzerland,Malignant neoplasms of cervix uteri
Female,245.9,2012,Switzerland,Malignant neoplasms
Female,236,2008,Switzerland,Malignant neoplasms
Female,240.1,2002,Switzerland,Malignant neoplasms
Female,211.3,2000,Switzerland,Malignant neoplasms
Female,8.8,2012,Türkiye,"Malignant neoplasms of trachea, bronchus, lung"
Female,8.5,2002,Türkiye,"Malignant neoplasms of colon, rectum and anus"
Female,161.6,2012,Türkiye,Malignant neoplasms
Female,112.8,2008,Türkiye,Malignant neoplasms
Female,91.2,2002,Türkiye,Malignant neoplasms
Female,5.2,2008,Türkiye,"Malignant neoplasms of trachea, bronchus, lung"
Female,5.3,2002,Türkiye,"Malignant neoplasms of trachea, bronchus, lung"
Female,39.1,2012,Türkiye,Malignant neoplasms of female breast
Female,28.3,2008,Türkiye,Malignant neoplasms of female breast
Female,22,2002,Türkiye,Malignant neoplasms of female breast
Female,4.3,2012,Türkiye,Malignant neoplasms of cervix uteri
Female,4.2,2008,Türkiye,Malignant neoplasms of cervix uteri
Female,4.5,2002,Türkiye,Malignant neoplasms of cervix uteri
Female,13.1,2012,Türkiye,"Malignant neoplasms of colon, rectum and anus"
Female,7.1,2012,United Kingdom,Malignant neoplasms of cervix uteri
Female,23.7,2008,United Kingdom,"Malignant neoplasms of trachea, bronchus, lung"
Female,24.9,2002,United Kingdom,"Malignant neoplasms of trachea, bronchus, lung"
Female,21.8,2000,United Kingdom,"Malignant neoplasms of trachea, bronchus, lung"
Female,23.3,1998,United Kingdom,"Malignant neoplasms of trachea, bronchus, lung"
Female,7.2,2008,United Kingdom,Malignant neoplasms of cervix uteri
Female,8.3,2002,United Kingdom,Malignant neoplasms of cervix uteri
Female,9.3,2000,United Kingdom,Malignant neoplasms of cervix uteri
Female,7.6,1998,United Kingdom,Malignant neoplasms of cervix uteri
Female,267.3,2012,United Kingdom,Malignant neoplasms
Female,249.5,2008,United Kingdom,Malignant neoplasms
Female,260.6,2002,United Kingdom,Malignant neoplasms
Female,234.3,2000,United Kingdom,Malignant neoplasms
Female,224.1,1998,United Kingdom,Malignant neoplasms
Female,25.8,2012,United Kingdom,"Malignant neoplasms of trachea, bronchus, lung"
Female,95,2012,United Kingdom,Malignant neoplasms of female breast
Female,87.9,2008,United Kingdom,Malignant neoplasms of female breast
Female,87.2,2002,United Kingdom,Malignant neoplasms of female breast
Female,74.9,2000,United Kingdom,Malignant neoplasms of female breast
Female,68.8,1998,United Kingdom,Malignant neoplasms of female breast
Female,24.4,2012,United Kingdom,"Malignant neoplasms of colon, rectum and anus"
Female,23.5,2008,United Kingdom,"Malignant neoplasms of colon, rectum and anus"
Female,26.5,2002,United Kingdom,"Malignant neoplasms of colon, rectum and anus"
Female,25.3,2000,United Kingdom,"Malignant neoplasms of colon, rectum and anus"
Female,6.6,2012,United States,Malignant neoplasms of cervix uteri
Female,33.1,2002,United States,"Malignant neoplasms of colon, rectum and anus"
Female,33.7,2012,United States,"Malignant neoplasms of trachea, bronchus, lung"
Female,36.2,2008,United States,"Malignant neoplasms of trachea, bronchus, lung"
Female,36.1,2002,United States,"Malignant neoplasms of trachea, bronchus, lung"
Female,5.7,2008,United States,Malignant neoplasms of cervix uteri
Female,7.7,2002,United States,Malignant neoplasms of cervix uteri
Female,297.4,2012,United States,Malignant neoplasms
Female,274.4,2008,United States,Malignant neoplasms
Female,308.8,2002,United States,Malignant neoplasms
Female,92.9,2012,United States,Malignant neoplasms of female breast
Female,76,2008,United States,Malignant neoplasms of female breast
Female,101.1,2002,United States,Malignant neoplasms of female breast
Female,22,2012,United States,"Malignant neoplasms of colon, rectum and anus"
Female,186.8,2012,Brazil,Malignant neoplasms
Female,16.3,2012,Brazil,Malignant neoplasms of cervix uteri
Female,14.9,2012,Brazil,"Malignant neoplasms of colon, rectum and anus"
Female,59.5,2012,Brazil,Malignant neoplasms of female breast
Female,20.4,2012,China (People’s Republic of),"Malignant neoplasms of trachea, bronchus, lung"
Female,7.5,2012,China (People’s Republic of),Malignant neoplasms of cervix uteri
Female,11.6,2012,China (People’s Republic of),"Malignant neoplasms of colon, rectum and anus"
Female,22.1,2012,China (People’s Republic of),Malignant neoplasms of female breast
Female,22,2012,India,Malignant neoplasms of cervix uteri
Female,5.1,2012,India,"Malignant neoplasms of colon, rectum and anus"
Female,25.8,2012,India,Malignant neoplasms of female breast
Female,3.1,2012,India,"Malignant neoplasms of trachea, bronchus, lung"
Female,8.1,2012,Indonesia,"Malignant neoplasms of trachea, bronchus, lung"
Female,17.3,2012,Indonesia,Malignant neoplasms of cervix uteri
Female,134.4,2012,Indonesia,Malignant neoplasms
Female,10.1,2012,Indonesia,"Malignant neoplasms of colon, rectum and anus"
Female,41.5,2012,South Africa,Malignant neoplasms of female breast
Female,9.5,2012,South Africa,"Malignant neoplasms of colon, rectum and anus"
Female,168.9,2012,South Africa,Malignant neoplasms
Female,31.7,2012,South Africa,Malignant neoplasms of cervix uteri
Female,19.2,2008,Australia,"Malignant neoplasms of trachea, bronchus, lung"
Female,25,1998,Austria,"Malignant neoplasms of colon, rectum and anus"
Female,8.2,1998,Belgium,Malignant neoplasms of cervix uteri
Female,6.6,2008,Canada,Malignant neoplasms of cervix uteri
Female,14.4,2012,Chile,"Malignant neoplasms of colon, rectum and anus"
Female,12.5,2012,Colombia,"Malignant neoplasms of colon, rectum and anus"
Female,45.4,2012,Costa Rica,Malignant neoplasms of female breast
Female,252.5,2008,Czechia,Malignant neoplasms
Female,11.6,1998,Denmark,Malignant neoplasms of cervix uteri
Female,51.6,2012,Estonia,Malignant neoplasms of female breast
Female,9.3,1998,Finland,"Malignant neoplasms of trachea, bronchus, lung"
Female,7.9,1998,France,"Malignant neoplasms of trachea, bronchus, lung"
Female,26.4,1998,Germany,"Malignant neoplasms of colon, rectum and anus"
Female,161.6,1998,Greece,Malignant neoplasms
Female,16.6,2008,Hungary,Malignant neoplasms of cervix uteri
Female,273.1,2008,Iceland,Malignant neoplasms
Female,26.2,1998,Ireland,"Malignant neoplasms of colon, rectum and anus"
Female,258.7,2012,Israel,Malignant neoplasms
Female,8.9,1998,Italy,"Malignant neoplasms of trachea, bronchus, lung"
Female,22.8,2008,Japan,"Malignant neoplasms of colon, rectum and anus"
Female,10.8,2008,Korea,Malignant neoplasms of cervix uteri
Female,52.1,2012,Latvia,Malignant neoplasms of female breast
Female,48.7,2012,Lithuania,Malignant neoplasms of female breast
Female,26.5,1998,Luxembourg,"Malignant neoplasms of colon, rectum and anus"
Female,27.2,2008,Mexico,Malignant neoplasms of female breast
Female,18.2,1998,Netherlands,"Malignant neoplasms of trachea, bronchus, lung"
Female,89.4,2008,New Zealand,Malignant neoplasms of female breast
Female,265.7,2008,Norway,Malignant neoplasms
Female,12.3,2008,Poland,Malignant neoplasms of cervix uteri
Female,22.7,1998,Portugal,"Malignant neoplasms of colon, rectum and anus"
Female,10.6,2008,Slovak Republic,"Malignant neoplasms of trachea, bronchus, lung"
Female,251.5,2012,Slovenia,Malignant neoplasms
Female,5,1998,Spain,"Malignant neoplasms of trachea, bronchus, lung"
Female,7.4,1998,Sweden,Malignant neoplasms of cervix uteri
Female,83.1,2012,Switzerland,Malignant neoplasms of female breast
Female,9.1,2008,Türkiye,"Malignant neoplasms of colon, rectum and anus"
Female,22,1998,United Kingdom,"Malignant neoplasms of colon, rectum and anus"
Female,25,2008,United States,"Malignant neoplasms of colon, rectum and anus"
Female,12.2,2012,Brazil,"Malignant neoplasms of trachea, bronchus, lung"
Female,139.9,2012,China (People’s Republic of),Malignant neoplasms
Female,97.4,2012,India,Malignant neoplasms
Female,40.3,2012,Indonesia,Malignant neoplasms of female breast
Female,11.2,2012,South Africa,"Malignant neoplasms of trachea, bronchus, lung"
